Carrier/Switch;Interface;L3_Termination_Point;Vlans;TAG;ASN;LIR Prefix;PtP1 (eier);PtP2 (kolettir)
argos.grnet.gr;0;argos.grnet.gr;0;GNARGOS;64955;83.212.8.240/29;83.212.176.108/31;0
naflpio.grnet.gr;0;naflpio.grnet.gr;0;GNALAFPLIO;64956;83.212.8.248/29;83.212.176.112/31;0
sparti.grnet.gr;0;sparti.grnet.gr;0;GNSPA;65158;195.130.89.96/29 ;0;0
kefallonia.grnet.gr;0;kefallonia.grnet.gr;0;GNKEF;64957;194.177.198.0/29;83.212.176.116/31;0
lefkada.grnet.gr;0;lefkada.grnet.gr;0;GNLEFKADA;64958;194.177.198.8/29;83.212.176.120/31;0
preveza.grnet.gr;0;preveza.grnet.gr;0;GNPREV;64959;194.177.198.16/29;83.212.176.124/31;0
aigio.grnet.gr;0;aigio.grnet.gr;0;GNACHAIG;64960;194.177.198.24/29;83.212.176.128/31;0
pyrgos.grnet.gr;0;pyrgos.grnet.gr;0;GNILPYRG;64961;194.177.198.32/29;83.212.176.132/31;0
agnikolaos.grnet.gr;0;agnikolaos.grnet.gr;0;GNLAGNIKOL;64962;194.177.198.40/29;83.212.176.136/31;0
ierapetra.grnet.gr;0;ierapetra.grnet.gr;0;GNLIERAP;64963;194.177.198.48/29;83.212.176.140/31;0
TBD;0;0;0;EKEA;65076;83.212.248.0/27 ;62.217.97.184/30;0
eie2-asw.grnet.gr;ge-0/0/15;eie.grnet.gr;112;MINHEALTH;64964;194.177.198.56/29;83.212.176.144/31;0
eie2-asw.grnet.gr;ge-0/0/16;eie.grnet.gr;113;MINHEALTH2;64964;194.177.198.64/29;83.212.176.148/31;0
0;0;0;0;FIL;64965;194.177.198.72/29;83.212.176.152/31;0
0;0;0;0;IKARIA;64966;194.177.198.80/29;83.212.176.156/31;0
0;0;0;0;KITH;64967;194.177.198.88/29;83.212.176.160/31;0
0;0;0;0;LIXOURI;64968;194.177.198.96/29;83.212.176.164/31;0
0;0;0;0;KALAVR;64969;194.177.198.104/29;83.212.176.168/31;0
0;0;0;0;AMALIADA;64970;194.177.198.112/29;83.212.176.172/31;0
0;0;0;0;KRESTENA;64971;194.177.198.120/29;83.212.176.176/31;0
0;0;0;0;THIRA;64972;194.177.198.128/29;83.212.176.180/31;0
0;0;0;0;KARPEN;64973;194.177.198.136/29;83.212.176.184/31;0
0;0;0;0;GOYMEN;64974;194.177.198.144/29;83.212.176.188/31;0
0;0;0;0;GNSPA;65158;195.130.88.120/29;62.217.77.44/31;62.217.77.68/31
0;0;0;0;SITIA;64976;194.177.198.160/29;83.212.176.196/31;0
0;0;0;0;KYPAR;64977;194.177.198.168/29;83.212.176.200/31;0
0;0;0;0;GIANNITSA;64978;194.177.198.176/29;83.212.176.204/31;0
0;0;0;0;KALYMNO;64979;194.177.198.184/29;83.212.176.208/31;0
0;0;0;0;IPPOKRKO;64980;194.177.198.192/29;83.212.176.212/31;0
0;0;0;0;AGPANTSAM;64981;194.177.198.200/29;83.212.176.216/31;0
0;0;0;0;KARYSTOS;64982;194.177.198.208/29;83.212.176.220/31;0
0;0;0;0;KYMI;64983;194.177.198.216/29;83.212.176.224/31;0
0;0;0;0;NEAPOLI;64983;194.177.198.224/29;83.212.176.228/31;0
0;0;0;0;LEROS;64985;194.177.198.232/29;83.212.176.232/31;0
0;0;0;0;EVAG;65006;195.251.97.0/27;62.217.96.44/30;62.217.99.176/30
0;0;0;0;IPPOKR;65064;83.212.233.160/27;62.217.97.150/31 (kolettir);62.217.97.148/31
0;0;0;0;GNROD;65129;195.130.89.0/29;62.217.99.126/31;-
0;0;0;0;GNSYR;65128;195.130.88.248/29 195.130.89.80/29;62.217.99.152/30;62.217.99.156/30
0;0;0;0;_______;65098;83.212.233.64/27;62.217.98.152/31, 62.217.101.192/31;62.217.98.154/31
